model_name sample size system_name config_name core0_status core1_status core2_status core3_status core_freq gpu_status gpu_freq emc_status emc_freq inference_time power_consumption
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config113 1 0 0 0 345600 1 1300500000 1 1331200000 0.47805341084798175 1430.7777777777778
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config114 1 0 0 0 345600 1 1300500000 1 1600000000 0.47892045974731445 1380.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config115 1 0 0 0 345600 1 1300500000 1 1866000000 0.46248523394266766 1455.6666666666667
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config116 1 0 0 0 345600 1 140250000 1 1062400000 0.8741707801818848 1016.3333333333334
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config117 1 0 0 0 345600 1 140250000 1 1331200000 0.8541583749983046 1024.5555555555557
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config118 1 0 0 0 345600 1 140250000 1 1600000000 0.8670991791619195 1032.2222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config119 1 0 0 0 345600 1 140250000 1 1866000000 0.8473949167463515 1015.3333333333334
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config120 1 0 0 0 345600 1 497250000 1 1062400000 0.5045234627193875 829.8888888888889
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config121 1 0 0 0 345600 1 497250000 1 1331200000 0.48890312512715656 711.3333333333334
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config122 1 0 0 0 345600 1 497250000 1 1600000000 0.4853275616963704 872.1111111111111
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config123 1 0 0 0 345600 1 497250000 1 1866000000 0.4667801592085097 889.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config124 1 0 0 0 345600 1 943500000 1 1062400000 0.5031498008304172 922.5555555555555
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config125 1 0 0 0 345600 1 943500000 1 1331200000 0.47773851288689506 964.8888888888889
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config126 1 0 0 0 345600 1 943500000 1 1600000000 0.4543783664703369 897.2222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config127 1 0 0 0 345600 1 943500000 1 1866000000 0.4502773814731174 880.2222222222222
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config128 1 0 0 0 499200 1 1300500000 1 1062400000 0.324613094329834 1735.5555555555557
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config129 1 0 0 0 499200 1 1300500000 1 1331200000 0.29937145445081925 1854.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config130 1 0 0 0 499200 1 1300500000 1 1600000000 0.30117691887749565 1693.111111111111
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config131 1 0 0 0 499200 1 1300500000 1 1866000000 0.2928856743706597 1912.6666666666667
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config132 1 0 0 0 499200 1 140250000 1 1062400000 0.7561916510264078 1151.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config133 1 0 0 0 499200 1 140250000 1 1331200000 0.7320773071712918 1219.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config134 1 0 0 0 499200 1 140250000 1 1600000000 0.6829254362318251 1226.7777777777778
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config135 1 0 0 0 499200 1 140250000 1 1866000000 0.7172047826978896 1235.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config136 1 0 0 0 499200 1 497250000 1 1062400000 0.3462216059366862 922.5555555555555
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config137 1 0 0 0 499200 1 497250000 1 1331200000 0.3394627836015489 965.0
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config138 1 0 0 0 499200 1 497250000 1 1600000000 0.310599856906467 956.4444444444445
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config139 1 0 0 0 499200 1 497250000 1 1866000000 0.32660643259684247 981.7777777777778
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config140 1 0 0 0 499200 1 943500000 1 1062400000 0.3221546808878581 1083.7777777777778
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config141 1 0 0 0 499200 1 943500000 1 1331200000 0.303266445795695 1151.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config142 1 0 0 0 499200 1 943500000 1 1600000000 0.2986636956532796 1286.888888888889
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config143 1 0 0 0 499200 1 943500000 1 1866000000 0.27924227714538574 1370.7777777777778
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config144 1 0 0 0 652800 1 1300500000 1 1062400000 0.2612694634331597 2057.4444444444443
xception ILSVRC2017_test_00002118.JPEG 200x200 TX2 Config145 1 0 0 0 652800 1 1300500000 1 1331200000 0.24676420953538683 1955.111111111111
